time,T_core0,T_core1,T_core2,IPC_core0,IPC_core1,IPC_core2,F_core0,F_core1,F_core2,P_core0,P_core1,P_core2,Energy_Per_Instruction_core0,Energy_Per_Instruction_core1,Energy_Per_Instruction_core2,Cdyn_core0,Cdyn_core1,Cdyn_core2
70063068585500,71.71260982261134,68.370883571819,92.27754896329408,0.0,0.0,2.152982538755571,4.0,4.0,1.3,0.11356533143402797,0.10915740639784102,1.2183003754206567,2.8391332858440817e-07,2.728935159939662e-07,4.4126880785654905e-10,0.0,0.0,1.1297258919847625e-09
70065071066500,71.69901246838434,68.3588841411265,92.27205966449576,0.00013985921795617602,0.0,2.1518830000201863,4.0,4.0,1.3,0.11404440040069205,0.10914333902861509,1.2214546876664145,2.829797446952068e-07,2.7285834757284077e-07,4.426095951489249e-10,8.665658925266843e-14,0.0,1.1328835527774748e-09
70067071066499,71.6855593468368,68.34689042755475,92.26670031901259,0.0,0.0,2.1429659622247033,4.0,4.0,1.3,0.11352541598786367,0.1091292899958762,1.23205187218529,2.8381353996899767e-07,2.72823224989055e-07,4.481423665018106e-10,0.0,0.0,1.1434338187582101e-09
70069071066500,71.67199027201768,68.33673165505425,92.26152772198071,0.0,0.0,2.1379647441825007,4.0,1.0,1.3,0.1135054216208172,0.08239125767824497,1.2343360312483553,2.837635540513818e-07,2.6455206882234427e-07,4.5033548364732087e-10,0.0,0.0,1.1457257080309582e-09
70071071066500,71.65842029576433,68.32100664372923,92.2562980139091,0.00014002315404675354,0.0,2.136541749861942,4.0,1.0,1.3,0.11398513378501199,0.024812386640600592,1.241841664569584,2.828323147026314e-07,2.4812386640542774e-07,4.540215412759057e-10,8.675150824005445e-14,0.0,1.1532044673621135e-09
70073071066499,71.64499482500081,68.30734570307798,92.25119252783533,0.0,0.0,2.1431079665377224,4.0,1.0,1.3,0.11346569878836787,0.024800683103136555,1.232824234056265,2.8366424697025854e-07,2.480068310325496e-07,4.4839368187566734e-10,0.0,0.0,1.1442698922699062e-09
70075071066500,71.63144483416198,68.2936913573368,92.24602172776821,0.0,0.0,2.1416257439050157,4.0,1.0,1.3,0.11344578833539362,0.024788996234291732,1.2360995998029514,2.836144708378233e-07,2.478899623423393e-07,4.498982083409097e-10,0.0,0.0,1.1475463410979642e-09
70077071066500,71.61789407940311,68.28004360354204,92.24088971825888,0.00014002315404675354,0.0,2.1395693811581302,4.0,1.0,1.3,0.11392558451216697,0.024777326005204946,1.2448212445679552,2.826839053280109e-07,2.4777326005147236e-07,4.5447900217810155e-10,8.675150824005445e-14,0.0,1.156232534578137e-09
70079071066499,71.60448753150132,68.26640243873098,92.23599947393852,0.0,0.0,2.128833766934674,4.0,1.0,1.3,0.11340623239690757,0.02476567238707282,1.2698589114628716,2.8351558099160797e-07,2.4765672387191084e-07,4.650203952739865e-10,0.0,0.0,1.1811247616123548e-09
70081071066500,71.590956601046,68.25276785994173,92.23203632692078,0.0,0.0,2.1156151627625497,4.0,1.0,1.3,0.11338640543230534,0.024754035351149558,1.3104449303256378,2.834660135801027e-07,2.4754035351091864e-07,4.851395449036406e-10,0.0,0.0,1.2214574241782679e-09
70083071066500,71.57742504400932,68.23913986421347,92.22625570015715,0.00014002315404675354,0.0,2.144802772285279,4.0,1.0,1.3,0.11386628519522085,0.02474241486874694,1.2409240071629624,2.825361188961609e-07,2.47424148686893e-07,4.5100180104605674e-10,8.675150824005445e-14,0.0,1.152426184220495e-09
70085071066499,71.56403739555903,68.22551844858613,92.22125055796005,0.0,0.0,2.131949779440143,4.0,1.0,1.3,0.11334701554099752,0.024730810911234222,1.2531310295289153,2.833675388518331e-07,2.473081091135232e-07,4.590388110872632e-10,0.0,0.0,1.164573898529289e-09
70087071066500,71.55052550190123,68.21190361010068,92.21637044051776,0.0,0.0,2.1401300684671924,4.0,1.0,1.3,0.11332727164154623,0.024719223450038047,1.239596500922557,2.833181791032048e-07,2.4719223449980416e-07,4.514738361450393e-10,0.0,0.0,1.1511513243176584e-09
